date,game,pick,p538,price,pBOV,value,league
2020-08-19,PHI-BOS,Boston Celtics,0.6191885982635789,1.526316,0.6551723234245072,-0.05811432132606968,nba
2020-08-19,PHI-BOS,Philadelphia 76ers,0.38081140173642114,2.650,0.37735849056603776,0.009067247342487166,nba
2020-08-19,DAL-LAC,Los Angeles Clippers,0.6499093877667766,1.454545,0.6875002148438172,-0.05784010476631274,nba
2020-08-19,DAL-LAC,Dallas Mavericks,0.35009061223322335,2.800,0.35714285714285715,-0.0201440560335155,nba
2020-08-20,MIA-IND,Indiana Pacers,0.4906133461325887,2.550,0.3921568627450981,0.20068040171268126,nba
2020-08-20,MIA-IND,Miami Heat,0.5093866538674112,1.571429,0.6363634628099647,-0.249273921840136,nba
2020-08-20,OKC-HOU,Houston Rockets,0.49578003682597266,1.690,0.591715976331361,-0.19350504735845886,nba
2020-08-20,OKC-HOU,Oklahoma City Thunder,0.5042199631740274,2.250,0.4444444444444444,0.11855048013827241,nba
2020-08-20,ORL-MIL,Milwaukee Bucks,0.6826111325871067,1.090909,0.916666743055562,-0.34288279123339355,nba
2020-08-20,ORL-MIL,Orlando Magic,0.3173888674128933,7.500,0.13333333333333333,0.5799054503071808,nba
2020-08-20,POR-LAL,Los Angeles Lakers,0.5696526814912406,1.363636,0.733333528888941,-0.2873344631139374,nba
2020-08-20,POR-LAL,Portland Trail Blazers,0.4303473185087594,3.250,0.3076923076923077,0.2850140004159341,nba
